race_date,horse_name,jockey,trainer,actual_weight,draw,win_odds,race_distance,is_top3,last_is_top3,top3_rate_last_1,top3_rate_last_3,top3_rate_last_5,avg_odds_last_3,avg_actual_weight_last_3,days_since_last_race,predicted_top3_prob
2023-01-01,加州星球,巴度,韋達,123,2,4.9,1800,0,,,,,,,,0.2707293629230064
2023-01-20,加州星球,莫雷拉,沈集成,127,12,1.4,1200,1,0.0,0.0,0.0,0.0,4.9,123.0,19.0,0.8128427254440231
2023-02-01,加州星球,希威森,蘇保羅,126,8,18.7,2200,0,1.0,0.5,0.5,0.5,3.1500000000000004,125.0,12.0,0.1342616564301728
2023-02-07,加州星球,田泰安,蘇保羅,128,8,13.2,1200,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.333333333333334,125.33333333333331,6.0,0.1293864958833927
2023-02-22,加州星球,潘頓,韋達,118,10,2.1,1000,0,0.0,0.25,0.3333333333333333,0.25,11.1,127.0,15.0,0.7159825199888669
2023-02-23,加州星球,田泰安,呂健威,124,3,5.8,1400,0,0.0,0.2,0.0,0.2,11.333333333333334,124.0,1.0,0.4666558125770352
2023-02-25,加州星球,希威森,蘇保羅,118,8,12.9,1400,1,0.0,0.1666666666666666,0.0,0.2,7.033333333333332,123.33333333333331,2.0,0.6328149007682526
2023-02-27,加州星球,希威森,葉楚航,121,11,17.9,1200,0,1.0,0.2857142857142857,0.3333333333333333,0.2,6.933333333333334,120.0,2.0,0.23545530795214617
2023-03-30,加州星球,艾道拿,韋達,131,7,24.0,1800,0,0.0,0.25,0.3333333333333333,0.2,12.199999999999998,121.0,31.0,0.08899116048287807
2023-04-05,加州星球,希威森,沈集成,119,11,8.9,2000,0,0.0,0.2222222222222222,0.3333333333333333,0.2,18.266666666666666,123.33333333333331,6.0,0.2313326882179733
2023-05-02,加州星球,潘頓,呂健威,116,1,1.9,2200,1,0.0,0.2,0.0,0.2,16.933333333333334,123.66666666666669,27.0,0.8671558990741641
2023-05-05,加州星球,蔡明紹,韋達,118,10,11.3,1400,0,1.0,0.2727272727272727,0.3333333333333333,0.4,11.6,122.0,3.0,0.22416063694397714
2023-05-27,加州星球,艾道拿,沈集成,122,4,17.1,1800,0,0.0,0.25,0.3333333333333333,0.2,7.366666666666667,117.66666666666669,22.0,0.2552981462159672
